
	1919
，	1669
。	1564
%	313
不	211
人	199
山	154
无	123
日	120
一	120
天	117
月	117
风	117
云	109
来	105
夜	100
有	99
长	92
上	89
君	89
相	88
何	88
时	88
生	87
江	84
水	83
花	82
见	81
春	78
中	76
如	76
为	75
行	74
青	71
白	71
万	70
落	70
归	68
下	68
明	67
自	67
秋	66
空	65
年	65
此	64
今	62
里	62
之	62
去	61
声	61
欲	59
未	59
心	57
城	56
清	56
雨	56
金	55
客	55
家	55
飞	55
马	55
寒	54
三	54
在	54
将	54
是	52
西	52
事	52
处	52
入	51
十	51
黄	51
门	50
朝	50
流	50
玉	50
高	50
知	49
子	49
古	48
色	48
闻	48
阳	48
尽	47
开	47
出	46
酒	46
草	46
深	45
道	45
南	45
与	45
我	45
得	45
前	44
千	44
大	41
问	41
已	41
独	40
可	40
头	40
衣	40
海	40
远	39
烟	39
汉	38
暮	38
东	38
难	38
望	38
别	38
多	38
还	37
地	37
宫	37
ꆼ	37
重	36
新	36
愁	35
石	35
树	35
泪	35
书	35
复	34
五	34
楼	34
王	33
犹	33
情	33
路	33
梦	33
平	33
从	33
回	33
关	33
然	32
故	32
孤	32
意	32
成	32
河	31
歌	31
边	31
雪	30
身	30
林	29
九	29
老	29
思	29
者	29
曲	29
鸟	29
北	29
初	29
到	29
乡	29
其	28
几	28
作	28
谁	28
向	28
安	28
以	28
间	28
旧	28
后	27
叶	27
余	27
舟	27
女	27
松	27
当	26
少	26
同	26
更	26
动	26
世	26
龙	26
二	26
满	26
岂	26
看	25
小	25
照	25
红	25
胡	25
气	25
绝	25
影	25
军	25
能	25
露	25
随	24
应	24
连	24
幽	24
言	24
怜	24
发	24
百	24
至	24
坐	24
尘	24
于	24
台	24
光	24
波	24
所	23
莫	23
野	23
断	23
夕	23
香	23
沙	23
柳	23
对	23
使	23
颜	23
公	23
茫	23
雁	23
游	23
临	22
华	22
常	22
送	22
四	22
听	22
近	22
陵	22
微	22
隔	21
剑	21
转	21
散	21
终	21
死	21
神	21
鼓	21
乐	21
轻	21
外	21
共	21
钟	21
醉	21
萧	21
闲	21
皆	21
晚	20
忽	20
名	20
语	20
仙	20
国	20
啼	20
手	20
昔	20
寂	20
夫	20
晓	20
�	20
恨	20
离	19
过	19
弦	19
鸣	19
数	19
画	19
文	19
斜	19
儿	19
苍	19
而	19
帝	19
亦	19
阴	19
木	19
苦	19
罗	19
征	19
泉	18
吹	18
好	18
圣	18
凤	18
星	18
罢	18
岁	18
楚	18
州	18
火	18
静	18
似	18
干	18
两	18
昨	18
堂	18
须	17
杯	17
逢	17
寻	17
薄	17
太	17
度	17
舞	17
惊	17
翠	17
半	17
饮	17
庭	17
孙	17
官	17
起	17
又	17
洞	16
绿	16
迟	16
碧	16
遥	16
悲	16
穷	16
久	16
卧	16
枝	16
锦	16
登	16
竹	16
方	16
留	16
若	16
主	16
渡	16
足	15
双	15
觉	15
琶	15
战	15
但	15
斗	15
浮	15
期	15
美	15
惟	15
感	15
且	15
才	15
垂	15
忆	15
径	15
非	15
残	15
音	15
琵	15
居	15
先	15
殿	15
正	15
教	14
秦	14
笑	14
识	14
骑	14
依	14
冥	14
因	14
带	14
弟	14
燕	14
湖	14
溪	14
八	14
哀	14
塞	14
川	14
魂	14
荒	14
吟	14
分	14
倚	14
传	14
愿	14
渔	13
节	13
辞	13
暗	13
羽	13
宿	13
顾	13
折	13
骨	13
乱	13
纷	13
弹	13
都	13
疑	13
呼	13
物	13
早	13
角	13
取	13
盘	13
灯	13
始	13
欢	13
烛	13
令	13
稀	13
低	13
尚	13
爱	13
霜	13
解	13
谢	13
拂	12
持	12
斯	12
亲	12
息	12
眠	12
经	12
吾	12
丘	12
涯	12
只	12
猿	12
昏	12
收	12
载	12
园	12
车	12
帆	12
通	12
船	12
凝	12
功	12
池	12
田	12
往	12
壑	11
疏	11
珠	11
和	11
蓬	11
堪	11
口	11
鬓	11
逐	11
会	11
梁	11
栖	11
乘	11
武	11
妇	11
峰	11
报	11
臣	11
敢	11
阁	11
凄	11
伤	11
住	11
代	11
眉	11
嗟	11
凉	11
飘	11
原	11
吴	11
恩	11
漫	11
冠	10
学	10
扫	10
冷	10
肠	10
面	10
裳	10
良	10
本	10
走	10
洲	10
邻	10
群	10
荆	10
立	10
惜	10
桃	10
容	10
摇	10
师	10
病	10
六	10
阙	10
妆	10
元	10
休	10
待	10
帘	10
漠	10
杨	10
丹	10
曾	10
怨	10
迢	10
虽	10
信	10
兵	10
姑	9
扬	9
绕	9
曙	9
佳	9
徒	9
妾	9
？	9
银	9
芙	9
虚	9
鹤	9
[	9
侯	9
蓉	9
蜀	9
七	9
]	9
京	9
寺	9
芳	9
隐	9
他	9
命	9
井	9
沾	9
催	9
举	9
巴	9
接	9
直	9
寞	9
细	9
窗	9
真	9
琴	9
停	9
瑟	9
缘	9
由	9
及	9
寄	9
掩	9
即	9
衰	8
沉	8
鬼	8
移	8
卷	8
尔	8
越	8
争	8
殊	8
笔	8
丝	8
叹	8
鱼	8
著	8
最	8
旗	8
翻	8
血	8
调	8
淮	8
屋	8
眼	8
峡	8
阑	8
扉	8
岳	8
列	8
悠	8
湿	8
际	8
刀	8
营	8
宵	8
锁	8
横	8
破	8
贼	8
哭	8
急	8
变	8
合	8
切	8
片	8
土	8
澹	8
兮	8
庙	8
苔	8
戍	8
理	8
没	8
每	8
却	8
紫	8
壮	8
镜	8
灵	8
诸	8
怀	7
鸿	7
频	7
岩	7
胜	7
消	7
贵	7
傍	7
毛	7
泊	7
畏	7
泛	7
寥	7
洛	7
仰	7
枫	7
阶	7
响	7
暖	7
周	7
晴	7
岸	7
拜	7
邑	7
诗	7
腰	7
器	7
幸	7
屏	7
畔	7
窥	7
童	7
把	7
贫	7
御	7
喧	7
失	7
户	7
改	7
床	7
李	7
浪	7
达	7
荡	7
轩	7
谪	7
虎	7
含	7
铁	7
内	7
誓	7
映	7
沧	7
食	7
；	7
永	7
士	7
首	7
宗	7
殷	7
益	7
迹	7
历	7
贤	7
嫁	7
皇	7
侍	7
房	7
承	7
钱	7
魄	7
翁	7
潮	7
岭	7
侵	6
场	6
引	6
也	6
巾	6
底	6
彩	6
弓	6
遣	6
勤	6
暂	6
樵	6
郎	6
极	6
帐	6
杀	6
姿	6
怅	6
仆	6
雾	6
钓	6
异	6
啾	6
扇	6
烦	6
轮	6
观	6
蝉	6
章	6
倒	6
桂	6
霓	6
忍	6
想	6
肉	6
素	6
众	6
限	6
柱	6
曰	6
鸡	6
宝	6
参	6
雄	6
柏	6
舍	6
桑	6
称	6
各	6
曹	6
灭	6
目	6
郭	6
萋	6
服	6
挥	6
梨	6
销	6
斋	6
环	6
赐	6
源	6
业	6
条	6
尝	6
旌	6
盖	6
禁	6
祠	6
止	6
请	6
冰	6
字	6
凰	6
射	6
霞	6
置	6
危	6
采	6
苑	6
赤	6
弃	6
忘	6
塘	6
端	6
定	6
论	6
兴	6
步	6
封	6
湘	6
貌	6
村	6
层	6
存	6
繁	6
郊	6
津	6
挂	5
反	5
覆	5
峨	5
景	5
伴	5
郡	5
歇	5
幕	5
辉	5
砧	5
舫	5
闺	5
或	5
鸾	5
遍	5
飒	5
那	5
座	5
雷	5
茅	5
兹	5
戚	5
孔	5
说	5
翼	5
肯	5
据	5
庐	5
黑	5
奔	5
晖	5
进	5
笼	5
男	5
司	5
阔	5
被	5
蛟	5
渚	5
用	5
勒	5
管	5
钿	5
痕	5
纸	5
抱	5
尺	5
英	5
